208  162  178  293  87 0 1 0 0 0
214  151  161  369  96  0 1 0 0 0
193  181  195  4  87  0 1 0 0 0
231  138  184  971  90  0 1 0 0 0
237  201  268  972  137  0 1 0 0 0
232  161  212  972  95  0 1 0 0 0
285  213  379  784  116  0 1 0 0 0
192  140  179  414  63  0 1 0 0 0
181  127  196  303  69  0 1 0 0 0
227  159  168  294  107  0 1 0 0 0
216  160  210  367  101  0 1 0 0 0
200  140  140  277  75  0 1 0 0 0
232  137  170  257  90  0 1 0 0 0
167  180  271  261  83  0 1 0 0 0
161  137  130  224  86  0 1 0 0 0
203  127  173  333  94  0 1 0 0 0
205  125  135  282  82  0 1 0 0 0
202  133  176  973  89  0 1 0 0 0
213  151  235  974  131  0 1 0 0 0
191  160  250  273  86  0 1 0 0 0
226  146  237  278  98  0 1 0 0 0
186  147  252  279  85  0 1 0 0 0
224  157  227  252  53  0 1 0 0 0
209  135  179  361  107  0 1 0 0 0
185  141  221  294  90  0 1 0 0 0
181  145  242  268  87  0 1 0 0 0
177  126  193  242  61  0 1 0 0 0
235  128  210  428  76  0 1 0 0 0
196  162  206  888  118  0 1 0 0 0
183  158  184  286  82  0 1 0 0 0
208  149  190  311  107  0 1 0 0 0
219  167  220  359  114  0 1 0 0 0
232  197  284  342  67  0 1 0 0 0
169  126  157  246  71  0 1 0 0 0
178  145  225  273  50  0 1 0 0 0
189  167  262  257  63  0 1 0 0 0
225  155  268  339  96  0 1 0 0 0
192  163  238  317  107  0 1 0 0 0
191  163  249  362  94  0 1 0 0 0
178  173  220  290  78  0 1 0 0 0
212  142  196  226  52  0 1 0 0 0
189  171  238  283  82  0 1 0 0 0
300  227  161  426  108  0 1 0 0 0
186  185  226  562  108  0 1 0 0 0
265  183  259  431  106  0 1 0 0 0
264  164  238  289  132  0 1 0 0 0
245  178  488  308  130  0 1 0 0 0
218  197  313  339  97  0 1 0 0 0
212  202  296  395  156  0 1 0 0 0
193  190  196  299  103  0 1 0 0 0
205  159  328  306  99  0 1 0 0 0
191  146  318  343  87  0 1 0 0 0
195  157  186  255  79  0 1 0 0 0
208  164  210  261  65  0 1 0 0 0
221  274  256  252  73  0 1 0 0 0
249  168  195  212  71  0 1 0 0 0
216  206  246  448  92  0 1 0 0 0
204  190  274  4  101  0 1 0 0 0
276  200  296  4  191  0 1 0 0 0
205  240  317  4  215  0 1 0 0 0
217  177  275  610  100  0 1 0 0 0
248  260  346  974  64  0 1 0 0 0
258  160  318  974  173  0 1 0 0 0
288  229  398  974  171  0 1 0 0 0
242  171  227  586  78  0 1 0 0 0
180  200  237  973  121  0 1 0 0 0
193  194  242  974  63  0 1 0 0 0
202  177  265  975  94  0 1 0 0 0
173  156  134  974  71  0 1 0 0 0
205  168  239  306  77  0 1 0 0 0
198  153  177  974  91  0 1 0 0 0
222  182  249  974  119  0 1 0 0 0
240  182  193  429  91  0 1 0 0 0
193  203  285  398  97  0 1 0 0 0
183  189  207  227  61  0 1 0 0 0
179  169  195  258  68  0 1 0 0 0
185  169  201  254  65  0 1 0 0 0
209  204  267  283  91  0 1 0 0 0
193  173  219  294  84  0 1 0 0 0
252  248  229  315  165  0 1 0 0 0
164  153  169  288  107  0 1 0 0 0
215  182  236  295  134  0 1 0 0 0
268  181  249  301  76  0 1 0 0 0
236  239  376  399  142  0 1 0 0 0
241  214  241  441  113  0 1 0 0 0
230  198  311  343  100  0 1 0 0 0
269  183  201  309  101  0 1 0 0 0
237  209  243  283  77  0 1 0 0 0
229  198  213  338  143  0 1 0 0 0
219  168  190  276  77  0 1 0 0 0
443  186  252  355  123  0 1 0 0 0
265  200  270  398  157  0 1 0 0 0
223  209  241  379  162  0 1 0 0 0
259  191  237  336  107  0 1 0 0 0
218  209  242  366  149  0 1 0 0 0
206  222  255  271  85  0 1 0 0 0
210  176  211  255  102  0 1 0 0 0
246  257  306  310  157  0 1 0 0 0
235  217  256  519  135  0 1 0 0 0
214  188  231  505  138  0 1 0 0 0
263  193  257  391  108  0 1 0 0 0
293  195  300  404  111  0 1 0 0 0
283  222  305  375  158  0 1 0 0 0
229  210  271  316  110  0 1 0 0 0
256  171  215  347  113  0 1 0 0 0
218  192  220  346  100  0 1 0 0 0
215  158  206  334  135  0 1 0 0 0
227  161  226  271  107  0 1 0 0 0
238  209  204  294  98  0 1 0 0 0
223  195  201  281  95  0 1 0 0 0
233  234  305  211  66  0 1 0 0 0
276  176  220  264  98  0 1 0 0 0
249  173  203  973  74  0 1 0 0 0
253  218  273  973  81  0 1 0 0 0
202  153  144  974  43  0 1 0 0 0
229  176  286  973  61  0 1 0 0 0
211  167  310  233  66  0 1 0 0 0
241  166  238  974  74  0 1 0 0 0
291  158  268  973  102  0 1 0 0 0
